model,target,test_year,feature,importance
lgbm_no_network,fwd_ret_1m,2016,z_fragility_proxy,148.0
lgbm_no_network,fwd_ret_1m,2016,z_avg_manager_breadth,96.0
lgbm_no_network,fwd_ret_1m,2016,z_stock_sell_pressure,620.0
lgbm_no_network,fwd_ret_1m,2016,z_mktcap_proxy,431.0
lgbm_no_network,fwd_ret_1m,2016,z_vol,381.0
lgbm_no_network,fwd_ret_1m,2016,z_fragility_proxy_x_stock_sell_pressure,66.0
lgbm_no_network,fwd_ret_1m,2016,z_owner_hhi_x_stock_sell_pressure,123.0
lgbm_network_pressure,fwd_ret_1m,2016,z_stock_sell_pressure,0.0
lgbm_network_pressure,fwd_ret_1m,2016,z_network_degree,7.0
lgbm_network_pressure,fwd_ret_1m,2016,z_network_weighted_degree,12.0
lgbm_network_pressure,fwd_ret_1m,2016,z_network_peer_sell_pressure,3.0
lgbm_network_pressure,fwd_ret_1m,2016,z_fragility_proxy_x_stock_sell_pressure,2.0
lgbm_network_pressure,fwd_ret_1m,2016,z_fragility_proxy_x_network_peer_sell_pressure,1.0
lgbm_network_pressure,fwd_ret_1m,2016,z_owner_hhi_x_stock_sell_pressure,5.0
lgbm_network_pressure,fwd_ret_1m,2016,z_network_weighted_degree_x_network_peer_sell_pressure,0.0
ridge_all,fwd_ret_1m,2017,z_owner_count,0.00021305463451426476
ridge_all,fwd_ret_1m,2017,z_owner_hhi,0.0009552193805575371
ridge_all,fwd_ret_1m,2017,z_top_owner_share,0.00042243764619342983
ridge_all,fwd_ret_1m,2017,z_fragility_proxy,0.0018950250232592225
ridge_all,fwd_ret_1m,2017,z_avg_manager_breadth,0.0027372899930924177
ridge_all,fwd_ret_1m,2017,z_stock_sell_pressure,0.03401315584778786
ridge_all,fwd_ret_1m,2017,z_network_degree,0.0033147905487567186
ridge_all,fwd_ret_1m,2017,z_network_weighted_degree,0.0020370774436742067
ridge_all,fwd_ret_1m,2017,z_network_peer_sell_pressure,0.0043722763657569885
ridge_all,fwd_ret_1m,2017,z_mktcap_proxy,0.0013384904013946652
ridge_all,fwd_ret_1m,2017,z_vol,0.007228183094412088
ridge_all,fwd_ret_1m,2017,z_fragility_proxy_x_stock_sell_pressure,0.005684841424226761
ridge_all,fwd_ret_1m,2017,z_fragility_proxy_x_network_peer_sell_pressure,2.3388340196106583e-05
